#{"t_start": 1648192865.6452494, "env_id": null}
r,l,t
-4188.409124,7142,100.735335
-2034.690157,7142,136.724398
-1386.448589,7142,172.977296
-2051.438313,7142,207.095889
-2458.707033,7142,239.85464
-1010.734707,7142,274.112275
-2331.819944,7142,306.892895
-989.217019,7142,340.995287
-694.113894,7142,373.641457
-1282.034506,7142,408.530751
-1611.11209,7142,441.18738
-1167.003996,7142,476.47485
-1561.19069,7142,509.524245
-1448.778722,7142,543.559869
-1149.118848,7142,575.96254
-996.629876,7142,609.91742
-500.387076,7142,643.42188
-922.924166,7142,677.468382
-1485.367824,7142,710.683372
-35.575895,7142,745.364654
-1867.742027,7142,779.234581
-683.71437,7142,813.213921
-1629.282238,7142,847.122565
-980.054872,7142,880.30328
-1025.86982,7142,914.373764
-779.586733,7142,947.176328
-2054.49287,7142,982.039468
-528.926718,7142,1014.081523
-1087.463864,7142,1049.481699
-1523.789191,7142,1082.41398
-1671.559857,7142,1116.984449
-1001.215576,7142,1153.882809
-1177.258838,7142,1189.287129
-817.440173,7142,1223.2465
-1212.364333,7142,1258.970372
-4582.087221,7142,1292.538129
-918.288478,7142,1326.560035
-371.557541,7142,1359.187604
-660.303568,7142,1394.954465
-1101.667578,7142,1428.027684
-1027.512715,7142,1462.301218
-1329.141068,7142,1496.009733
-582.493473,7142,1536.048839
-572.271853,7142,1577.940623
-708.306138,7142,1614.879502
-899.074708,7142,1653.785947
-378.874493,7142,1691.318557
-764.102101,7142,1730.693317
-513.61219,7142,1766.251004
-1189.011267,7142,1801.372939
-560.880588,7142,1838.40716
-1154.280231,7142,1877.698278
-1288.993429,7142,1917.421181
-1175.518915,7142,1965.144493
-2148.05083,7142,2010.209421
-1048.042299,7142,2047.973427
-1670.005884,7142,2083.478814
-930.468389,7142,2117.550149
-459.791906,7142,2150.903715
-797.474447,7142,2192.133466
-574.72055,7142,2227.561639
-535.079697,7142,2260.711827
-1217.553809,7142,2295.730805
-1422.364628,7142,2329.033165
-1345.159291,7142,2363.389324
-519.643981,7142,2396.11957
-373.463311,7142,2432.837364
-1971.03527,7142,2466.793279
-1010.862773,7142,2501.155807
-343.511465,7142,2535.184722
-245.487237,7142,2570.620778
-1188.170255,7142,2603.54683
-1014.08001,7142,2637.877431
-533.284523,7142,2670.883093
-789.734432,7142,2704.52973
-1018.062812,7142,2737.445559
-418.667843,7142,2771.916155
-1653.915067,7142,2805.754531
-4984.10507,7142,2841.83225
-928.621972,7142,2876.024245
-1027.524461,7142,2909.454679
-1777.063504,7142,2944.815117
-590.397827,7142,2977.961227
-442.501756,7142,3011.661135
-1557.873204,7142,3044.715899
-1348.333778,7142,3079.159575
-707.026541,7142,3111.932153
-876.185099,7142,3146.375323
-1170.082047,7142,3179.395459
-610.730728,7142,3216.967566
-695.785393,7142,3250.722949
-394.267288,7142,3285.049091
-669.164841,7142,3318.076454
-3775.293103,7142,3352.834145
-707.662327,7142,3387.067268
-547.136732,7142,3421.266188
-639.728654,7142,3454.334468
-528.306176,7142,3489.580353
-374.83122,7142,3522.558567
-919.480303,7142,3556.983973
-260.938922,7142,3589.981583
-278.894157,7142,3625.416636
-392.868852,7142,3657.828616
-581.922811,7142,3692.305165
-747.791057,7142,3725.760088
-1611.679699,7142,3760.412704
-656.355518,7142,3794.663725
-257.196972,7142,3828.222757
-373.328384,7142,3862.731529
-730.557396,7142,3896.715044
-45.777889,7142,3931.207021
279.720067,7142,3963.573345
-1230.814069,7142,3997.810859
-662.773523,7142,4030.795137
-488.27582,7142,4065.550729
55.549041,7142,4099.578616
-1672.329215,7142,4138.119549
-55.063981,7142,4171.132762
83.339498,7142,4209.98724
-530.361218,7142,4251.842874
-231.927745,7142,4287.725941
-330.58112,7142,4322.798353
26.293879,7142,4360.891779
-1039.514655,7142,4416.826993
-79.907438,7142,4482.975606
-376.57078,7142,4562.097619
-528.362613,7142,4612.793258
-1389.583832,7142,4666.230047
781.434397,7142,4721.804226
-707.894321,7142,4776.923679
